ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location
1476,West Flemish,flamand occidental,flamenco occidental,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,Western Flemish; Zeelandic (Zeêuws),,1500000,"Devos, M.& Vandekerckhove, R. (2006). Taal in stad en land WEST-VLAAMS, Lannoo, 170 pp.
Streektaal.net http://taal.phileon.nl/index.php
",51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered"
334,Bashkir,bachkir,baskir,Russian Federation,RUS,bak,Vulnerable,Bashkort,,1379727,"А. А. Юлдашев: Башкирский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 206–216.",54.7309,55.9863,the Republic of Bashkortostan and adjacent regions
1067,Chechen,tchétchène,checheno,Russian Federation,RUS,che,Vulnerable,,,1331844,,43.1971,45.7031,the Republic of Chechenia and adjacent regions
338,Chuvash,tchouvache,chuvacho,Russian Federation,RUS,chv,Vulnerable,,,1325382,"И. А. Андреев: Чувашский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 480–491.",56.1394,47.2412,Chuvash Republic and adjacent regions
1227,Meithei,meitei,mitei,India,IND,mni,Vulnerable,"Manipuri, Meitei",,1250000,,24.7667,93.8946,"Manipur (throughout, but concentrated in the Manipur valley)
 "
1114,Tamang,tamang,tamang,"India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,तामाङ; तामाङ्ग; Murmi (obsolete),,1196639,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.7365,85.6858,"Dispersed throughout central and eastern hills of Nepal. Bāgmatī, Nārāyaṇī and Janakpur zones, in Kābhrepālañcok, Makvānpur, SIndhupālcok, Nuvākoṭ, Dhādiṅ, Sindhulī, Rāmechāp, Bagmatī, Dolakhā and Rasuvā districts. Also found in India (Sikkim)."
1013,Quechua of Cuzco,quechua de Cuzco,quechua cuzqueño,Peru,PER,quz,Vulnerable,Quechua Cuzco-Collao,,1115000,,-13.4537,-72.0098,"Cuzco, partes de  Arequipa, Puno, Apurímac (Abancay), Moquegua (Ubinas)."
1024,Eastern Slovak,slovaque oriental,eslovaco oriental,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,,,1000000,"Aleksandr D. Duličenko: Ostslowakisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 355–358.",48.8068,21.7968,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL"
377,Ligurian,ligurien,ligur,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,Monégasque (dialect),,1000000,,44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France"
407,Rusyn,ruthène,rutenio,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,"Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000,"Русиньскый язык. Redaktor naukowy Paul Robert Magocsi. Opole: Uniwersytet Opolski, Instytut Filologii Polskej, 2004. || Marc Stegherr: Rusinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 399–408. || Encyclopedia of Rusyn history and culture. Paul Robert Magocsi and Ivan Pop, editors. Toronto: University of Toronto Press, 2002.",48.4437,22.9394,Trans-Carpathian region of Ukraine
1515,Talysh,talysh,talisí,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",tly,Vulnerable,,,1000000,,38.814,48.6804,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan"
1577,Kui,kui,kui,India,IND,kxu,Vulnerable,"Kuy; Kandh; Khondi; Khond(o); Kodu; Kanda; Kodulu
",,916222,,19.5908,83.9575,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh"
1231,Khasi,khasi,jasí,India,IND,kha,Vulnerable,,,912000,,25.691,91.8676,eastern half of Meghalaya
1229,Bodo,bodo,bodo,India,IND,brx,Vulnerable,"Boro, Kachari",,900000,,26.7554,92.8674,"north bank of the Brahmaputra, Sonitpur and Darrang districts"
337,Campidanese,campidanien,sardo campidanés,Italy,ITA,sro,Definitely endangered,Campidanese Sardinian,,900000,,39.2991,8.9868,southern Sardinia
1803,K'iche' (Guatemala),k’iche' (Guatemala),quiché (Guatemala),Guatemala,GTM,quc,Vulnerable,"Chiquel, Cachbel, Chuil quiché, cunenteco, Cantel Quiché, Quiché",,890596, XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations.,15.0309,-91.1485,"Among the localities listed in the Ethnologue: El Quiché dept., Quetzaltenango, Cunén, Chichicastenango, Joyabaj, San Andrés Sajeabajá, Atitlán in Quetzaltenango dept.; Totinicapán dept, Santa Cruz Quiché"
989,Quechua of Ayacucho,quechua d'Ayacucho,quechua de Ayacucho,Peru,PER,quy,Definitely endangered,Quechua Ayacucho-Chanka. Chanka (Quechua).,,850000,,-13.1276,-74.2071,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa."
1117,Newar,newar,nevarí,Nepal,NPL,new,Definitely endangered,नेवार; Nepal Bhasa; Newari,,825458,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.6981,85.3198,Kathmandu valley
2222,Mon,môn,mon,"Myanmar, Thailand","MMR, THA",mnw,Vulnerable,Talaing,,800000,,16.4666,97.7833,
1523,Polesian,polésien,polesio,"Belarus, Poland, Ukraine","BRB, POL, UKR",,Vulnerable,,,800000,"Aleksandr D. Duličenko: Westpolesisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 581–587.",51.8629,23.9501,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL"
701,Tamaceq,tamaceq,tamacheq tahoua,Mali,MLI,taq,Definitely endangered,"Tamacheq, Tamasheq",,800000,"Official population figures, Local and international organisations
Numerous publications on background",16.7992,-3.0102,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso
"
1069,Avar,avar,avar,Russian Federation,RUS,ava,Vulnerable,,,784840,,42.4801,46.8017,parts of the Republic of Daghestan
1211,Mundari,mundari,mundarí,India,IND,muw,Vulnerable,Horo,,750000,,22.3297,86.0449,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh"
425,Welsh,gallois,galés,United Kingdom of Great Britain and Northern Ireland,GBR,cym,Vulnerable,y Gymraeg,Cymraeg,750000,"T. Arwyn Watkins: Welsh. — The Celtic languages. Edited by Martin J. Ball with James Fife. London and New York: Routledge, 1993. 289–348.",52.4459,-3.5485,Wales and adjacent parts of England; émigré communities in Patagonia
1202,Angika,angika,anga,"India, Nepal","IND, NPL",anp,Vulnerable,Chhika-Chhiki; Anga; Aangi; Bhagalpuri,,740892,,24.7451,85.3124,Bihar and Jharkhand
1827,Q'eqchi' (Guatemala),q’eqchi' (Guatemala),cachí (Guatemala),Guatemala,GTM,kek,Vulnerable,"K'eqchí, Ketchí, Cacché, Quecchí",,716101, XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for several locations.,15.4707,-90.3722,"Uspantán, Cobán, Panzós, Senahú, San Pedro Carchá, San Juan Chamelco, Lanquín, Cahabón, Chisec, Chahal, San Luis Sayaxché, El Estor, Livingston"
398,Picard,picard,picardo,"Belgium, France","BEL, FRA",pcd,Severely endangered,"ch’ti, ch’timi, rouchi",,700000,"Jean-Michel Eloy: Le picard, langue d'oïl http://www.encyclopedie.picardie.fr/index.php/Le_picard,_langue_d%27o%C3%AFl",50.2331,2.7905,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium"
1228,Kokborok,kokborok,kok borok,"Bangladesh, India","BGD, IND",trp,Vulnerable,Tripuri,,695000,,23.7752,91.6918,"Triupura, and Karimjang Dt. of Assam"
415,Basque,basque,euskera,"Spain, France","ESP, FRA",eus,Vulnerable,,euskara,660000,"R. L. Trask: The history of Basque. London: Routledge, 1997. | José Ignacio Hualde & Jon Ortiz de Urbina: A grammar of Basque. Mouton Grammar Library 26; Berlin: Mouton de Gruyter, 2003.",43.133,-2.0764,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France"
1065,Kabard-Cherkes,kabarde-tcherkesse,kabardái,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable,Kabardian,,650000,"Wolfgang Schulze: Kabardinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 861–867.",43.7393,43.4289,the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East
1559,Mandeali,mandeali,mandeali,India,IND,mjl,Definitely endangered,Mandi; Mandiali; Pahari Mandiyali,,611930,,31.4099,76.9921,Himachal Pradesh
353,Friulian,frioulan,friulano,Italy,ITA,fur,Definitely endangered,,,600000,,46.1037,13.1396,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere"
997,Quechua of Ancash and Huánuco,quechua d'Ancash et Huánuco,quechua de Ancash y de Huánuco,Peru,PER,"qec, qed, qee, qan, qei, qub, qej, qel, qem",Definitely endangered,"Quechua, Nunashimi. Quechua Ancash-Huánuco. Huaylas Quechua.",,600000,,-9.4598,-77.1789,"Zona central del Perú, departamentos de  Ancash Y Huánuco."
1947,Walloon,wallon,valón,"Belgium, France, Luxembourg","BEL, FRA, LUX",wln,Definitely endangered,,,600000,,50.4575,4.8559,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s"
1091,Mising,mising,mising,India,IND,mrg,Definitely endangered,"Miri, Mishing, Miri-Mishing",,550000,,26.9612,94.0539,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh
"
1066,Ossete,ossète,osético,"Georgia, Russian Federation","GEO, RUS",oss,Vulnerable,Ossetic,,550000,"З. Г. Исаева & М. И. Исаев: Осетинский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.
",42.9564,44.4946,North Ossetia and South Ossetia
1230,Mizo,mizo,lushai,India,IND,lus,Vulnerable,Lushai,,529000,,22.9988,92.9223,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma"
1070,Dargwa,dargwa,dargínico,Russian Federation,RUS,dar,Vulnerable,,,503523,,42.1145,47.4938,parts of the Republic of Daghestan
331,Aromanian,aroumain,arrumano,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,Macedo-Romanian; Vlach; Tsintsar,,500000,"Petar Atanasov: Aromunisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 77-82.
http://www.ethnologue.org/show_language.asp?code=rup
",40.2292,21.1376,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania"
2485,Brahui,brahui,birahuí,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",brh,Vulnerable,,,500000,"Dr. George van Driem in Encyclopaedia of World Endangered Languages, ed. by Christopher Moseley. 2007",29.0369,66.5826,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran"
375,Languedocian,languedocien,languedociano,France,FRA,oci,Severely endangered,occitan languedocien; langadocian,lengadocian,500000,,43.8899,2.5378,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds"
1072,Lezgian,lezghien,lezguio,"Azerbaijan, Russian Federation","AZE, RUS",lez,Vulnerable,,,500000,"У. А. Мейланова: Лезгинский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.",41.4921,48.0541,southern Daghestan in the Russian Federation; northern Azerbaijan
1558,Mahasui,mahasui,paharí mahasu,India,IND,bfz,Definitely endangered,Kiunthali; Kiuntali,,496024,,31.2738,77.1295,Himachal Pradesh
1118,Magar,magar,magarí,Nepal,NPL,"mgp, mrd",Definitely endangered,मगर; Manggar; Magari,,489383,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28.0816,83.4301,"Pālpā, Syāṅjā, Tanahũ and Gorkhā districts."
1822,Mam (Guatemala),mam (Guatemala),mam (Guatemala),Guatemala,GTM,,Vulnerable,,,477717,XI Censo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,14.9305,-91.9078,"Towns of Tejumulco and Ichiguán in Huehuetenango; towns of San Miguel Ixtahuacán, Concepción Tutapa and others in
San Marcos dept; San Sebastián, town of Todos Santos Cuchumatán and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martín Sacatepequez and other towns in Ostuncalco"
418,Udmurt,oudmourte,votiaco,Russian Federation,RUS,udm,Definitely endangered,,,463837,"Sandor Csucs: Udmurt. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 276–304.",57.2315,52.8662,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces"
1506,Huasteca Náhuatl,náhuatl du Huasteca,nahua de la Huasteca,Mexico,MEX,nhe,Vulnerable,Mexicano,,463183,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)",21.3835,-98.9902,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo"
1074,Kumyk,koumyk,kumyko,Russian Federation,RUS,kum,Vulnerable,,,458121,"Л. С. Левитская: Кумыкский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 319–327.",43.397,46.9775,parts of the Republic of Daghestan
508,Yakut,yakoute,yakuto,Russian Federation,RUS,sah,Vulnerable,Sakha,,456288,"Н. К. Антонов: Якутский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",62.3496,130.8691,the Republic of Sakha (Yakutia)
1801,Kaqchikel (Guatemala),kaqchikel (Guatemala),cachiquel (Guatemala),Guatemala,GTM,,Vulnerable,,,444954,XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,14.7814,-90.7925,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá"
1165,Karbi,karbi,miquirés,India,IND,mjw,Vulnerable,Mikir,,420000,,26.2934,93.2299,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur."
347,Eastern Mari,mari oriental,marí oriental,Russian Federation,RUS,mhr,Definitely endangered,Meadow Mari,,414211,"Eeva Kangasmaa-Minn: Mari. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 219–248. | Sirkka Saarinen: Tscheremissisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 719–733.",56.632,47.8784,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces"
1068,Ingush,ingouche,inguso,Russian Federation,RUS,inh,Vulnerable,,,405343,,43.145,45.1043,the Republic of Ingushetia and adjecent regions
350,Erzya,erzya,mordovo erzya,Russian Federation,RUS,myv,Definitely endangered,,,400000,"Gabor Zaicz: Mordva. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 184–218.",54.1302,45.4394,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan"
1212,Ho,ho,ho,India,IND,hoc,Vulnerable,Kol,,400000,,21.637,86.4404,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. "
